Date,Time,Accel_X (g),Accel_Y (g),Accel_Z (g),Gyro_X (°/s),Gyro_Y (°/s),Gyro_Z (°/s),Mag_X (G),Mag_Y (G),Mag_Z (G),Timestamp (s),timestamp,shot_type
2025-10-20,13:12:46.325,0.25292931653773076,-1.7937619961799092,-0.5838905818154375,-120.01148733688693,90.58808182729204,-106.33314635820891,0.2142,-0.23494,0.2121,1504.0,1970-01-01 00:00:01.500,smash
2025-10-20,13:12:46.424,0.9856856415896801,-1.9382753048518941,-0.5806999454704718,-25.78927047974412,-26.643409601279306,28.891748213219614,0.21665,-0.21917,0.2121,1604.0,1970-01-01 00:00:01.600,smash
2025-10-20,13:12:46.525,0.6892077470877381,-1.012755854968237,-0.10480846383940048,155.82459837739864,-71.0340950298507,278.0154650703623,-0.04195,-0.37199,0.2121,1704.0,1970-01-01 00:00:01.700,smash
2025-10-20,13:12:46.625,-0.6518189306494419,0.3887341547643612,0.556663814676874,362.7646135202557,-129.74400817270788,441.6986050703623,-0.43733,-0.36663,0.2121,1804.0,1970-01-01 00:00:01.800,smash
2025-10-20,13:12:46.723,-1.0377253803704614,2.9333784451834424,2.0882306161800708,130.29283923454147,-163.1486938869935,105.86203592750527,-0.5193,0.06223,0.2121,1904.0,1970-01-01 00:00:01.900,smash
2025-10-20,13:12:46.823,0.6378084945427164,4.895413577881292,0.610827133566689,-80.67230190831548,-527.8350178869933,-153.14420092963738,-0.27119,0.27447,0.2121,2004.0,1970-01-01 00:00:02.000,smash
2025-10-20,13:12:46.925,0.1542467681691524,5.192952901095519,-0.20533935919380103,-110.8508547654584,-431.736371601279,-112.02321721535178,-0.23681,-0.09743,0.2121,2104.0,1970-01-01 00:00:02.100,smash
2025-10-20,13:12:47.024,-0.4739754158207433,3.0698496578931356,-0.7631542124432835,109.27668037739866,-41.732189601279345,65.98463421321958,-0.07658,0.41125,0.2121,2204.0,1970-01-01 00:00:02.200,smash
2025-10-20,13:12:47.122,-0.8373788451232838,1.2059135377938863,0.28084108796380314,104.42793894882725,451.38179297014904,-10.68339607249464,0.00676,0.29834,0.2121,2304.0,1970-01-01 00:00:02.300,smash
2025-10-20,13:12:47.220,0.3091016107493788,-0.12322221071776036,-0.8658282430315637,104.62982952025583,360.09309868443484,-49.17503150106608,0.18963,0.16286,0.2121,2404.0,1970-01-01 00:00:02.400,smash
2025-10-20,13:12:47.325,0.014193444579821154,-0.7645266991315213,-0.7484076976254347,116.01687809168439,226.30545439872057,1.5214022132196248,0.27107,0.04778,0.2121,2504.0,1970-01-01 00:00:02.500,smash
2025-10-20,13:12:47.425,0.3532083311635445,-1.0370298538932232,-0.31869342039290616,106.99156294882724,148.49943039872062,1.2076276417910492,0.30048,-0.05555,0.2121,2604.0,1970-01-01 00:00:02.600,smash
2025-10-20,13:12:47.523,0.36011429942373274,-1.1258986107554514,-0.04688825561218475,78.27479637739867,104.87465582729205,2.847712498933906,0.30277,-0.1543,0.2121,2704.0,1970-01-01 00:00:02.700,smash
2025-10-20,13:12:47.620,0.28883545643950376,-0.9610279269141865,0.13182451316995222,34.76209780597014,64.46551611300636,-14.873644929637512,0.29012,-0.21715,0.2121,2804.0,1970-01-01 00:00:02.800,smash
