Date,Time,Accel_X (g),Accel_Y (g),Accel_Z (g),Gyro_X (°/s),Gyro_Y (°/s),Gyro_Z (°/s),Mag_X (G),Mag_Y (G),Mag_Z (G),Timestamp (s),timestamp,shot_type
2025-10-20,13:09:12.597,0.20193059250914128,0.2692689574636851,-0.107674017173622,6.591245909385121,64.42517433055941,-20.11558132038833,0.11491,-0.36313,0.2121,4.0,1970-01-01 00:00:00.000,clear
2025-10-20,13:09:12.698,0.04848554103904948,-0.12950840314353368,-0.07794508597962678,-34.315032090614906,95.27547461627375,-48.30584332038835,0.1063,-0.379,0.2121,104.0,1970-01-01 00:00:00.100,clear
2025-10-20,13:09:12.795,0.08372350842950446,-0.618269970465045,-0.17608692581983795,-46.107260090614865,93.21785204484509,-43.96171532038833,0.09743,-0.38178,0.2121,204.0,1970-01-01 00:00:00.200,clear
2025-10-20,13:09:12.898,0.33182097024371865,-1.3322542602988134,-0.5178380924404327,-44.95305751918629,58.40387461627367,-26.981853891816897,0.09065,-0.38128,0.2121,304.0,1970-01-01 00:00:00.300,clear
2025-10-20,13:09:12.998,0.697902467875675,-1.6766400631078873,-0.5131639658129453,52.2141799093851,-0.5384942408691414,98.43418525104019,0.04292,-0.40476,0.2121,404.0,1970-01-01 00:00:00.400,clear
2025-10-20,13:09:13.098,0.46065133310470274,-0.9226000768782613,-0.014755216069461004,205.05563590938502,-44.415977098011986,300.3022146796115,-0.20453,-0.47218,0.2121,504.0,1970-01-01 00:00:00.500,clear
2025-10-20,13:09:13.198,-0.3466655399488526,0.650126380247629,0.7223260913446891,415.68631448081345,-117.38103195515484,419.0460403938971,-0.51067,-0.26804,0.2121,604.0,1970-01-01 00:00:00.600,clear
2025-10-20,13:09:13.298,-0.9723963954695213,3.039329799297436,2.535926742115259,293.32335419509917,-113.1550402408691,67.16369353675444,-0.44339,0.21109,0.2121,704.0,1970-01-01 00:00:00.700,clear
2025-10-20,13:09:13.398,0.5962158498749002,5.465723804167474,0.9939027624765645,-634.7924915191861,-347.74029081229764,-384.56950703467385,-0.33144,0.28995,0.2121,804.0,1970-01-01 00:00:00.800,clear
2025-10-20,13:09:13.498,0.26435795741935564,5.040705953671408,-1.1031435438115682,-969.8609309477572,-302.15785309801186,-361.719510177531,-0.18231,-0.25604,0.2121,904.0,1970-01-01 00:00:00.900,clear
2025-10-20,13:09:13.597,-0.45002833823133614,2.510690763120302,-2.2266674933759942,-382.11550694775764,-19.91655824086917,16.145996393897306,-0.28808,0.33633,0.2121,1004.0,1970-01-01 00:00:01.000,clear
2025-10-20,13:09:13.698,-1.2470514260750707,0.010083016461125598,-0.5347785682836521,402.0980579093849,392.6225797591307,152.84334582246873,-0.05454,0.07121,0.2121,1104.0,1970-01-01 00:00:01.100,clear
2025-10-20,13:09:13.798,0.084310549041462,-0.8872702067384081,-0.6605979035275581,272.10812619509926,332.243760044845,24.400967536754496,0.11188,-0.19345,0.2121,1204.0,1970-01-01 00:00:01.200,clear
2025-10-20,13:09:13.898,0.08772697235572409,-1.7425436138553454,-0.5369248072067009,119.11156076652792,168.05270175913077,-36.827574463245476,0.16766,-0.29972,0.2121,1304.0,1970-01-01 00:00:01.300,clear
2025-10-20,13:09:13.993,0.18003808219518852,-1.7890483158375863,0.017137425700541744,59.56780448081366,57.379912616273685,-57.796643034674034,0.18458,-0.32977,0.2121,1404.0,1970-01-01 00:00:01.400,clear
2025-10-20,13:09:14.098,0.006398436649082152,-1.637769935491026,0.45611307599941153,29.855924195099387,0.5791034734165619,-55.071070748959755,0.19089,-0.34088,0.2121,1504.0,1970-01-01 00:00:01.500,clear
2025-10-20,13:09:14.195,-0.13019776690974208,-1.6924003392099691,0.6662727135178966,19.820229052242247,-5.104696526583435,-60.46310874895974,0.17667,-0.35871,0.2121,1604.0,1970-01-01 00:00:01.600,clear
2025-10-20,13:09:14.298,-0.14318317192142974,-1.8915113372507386,0.6556149485592766,7.273967337956537,17.37346804484512,-65.28796417753118,0.17902,-0.36133,0.2121,1704.0,1970-01-01 00:00:01.700,clear
2025-10-20,13:09:14.398,-0.1153703842877743,-1.9343072488135489,0.49954232548421457,-13.35057151918631,53.383794616273676,-56.443847034674036,0.18366,-0.3622,0.2121,1804.0,1970-01-01 00:00:01.800,clear
2025-10-20,13:09:14.498,-0.1582825759688549,-1.8133941332093344,0.36265074934622904,-33.17794037632916,67.73412433055938,-41.48547103467404,0.18003,-0.36486,0.2121,1904.0,1970-01-01 00:00:01.900,clear
2025-10-20,13:09:14.597,-0.22843902037771452,-1.7464224419468877,0.2897055645946115,-40.22135266204344,82.22638690198795,-42.458933891816905,0.18087,-0.36127,0.2121,2004.0,1970-01-01 00:00:02.000,clear
2025-10-20,13:09:14.698,-0.01909583214321445,-2.041630910648054,-0.18468870953354555,-49.6453875191863,103.07731490198793,-55.305580748959756,0.17574,-0.36057,0.2121,2104.0,1970-01-01 00:00:02.100,clear
2025-10-20,13:09:14.797,0.7362862412182986,-2.5058910635834866,-0.48966196541164575,-34.18199837632915,-14.11424852658345,-10.7448698918169,0.18786,-0.35637,0.2121,2204.0,1970-01-01 00:00:02.200,clear
2025-10-20,13:09:14.898,1.3187198969883698,-1.9051310999203739,-0.25421984371600165,98.65985419509934,-103.95660824086909,179.17003867961154,0.07121,-0.40829,0.2121,2304.0,1970-01-01 00:00:02.300,clear
2025-10-20,13:09:14.998,0.7320138345865852,-0.03267649195002808,0.35943151027208475,300.8975844808135,-130.08737509801196,433.26179725104,-0.32497,-0.44465,0.2121,2404.0,1970-01-01 00:00:02.400,clear
