Date,Time,Accel_X (g),Accel_Y (g),Accel_Z (g),Gyro_X (°/s),Gyro_Y (°/s),Gyro_Z (°/s),Mag_X (G),Mag_Y (G),Mag_Z (G),Timestamp (s),timestamp,shot_type
2025-10-20,12:52:43.082,0.02442345585679824,0.00343105634053508,-0.0019313696536596573,-60.47077703472383,13.601476026101137,26.620459915171306,0.15686,-0.21536,0.2121,4.0,1970-01-01 00:00:00.000,drive
2025-10-20,12:52:43.183,-0.08029189186020698,0.032185145376450564,-0.09677756170959757,-49.97944217758097,15.372330026101144,14.583905915171293,0.15933,-0.20478,0.2121,104.0,1970-01-01 00:00:00.100,drive
2025-10-20,12:52:43.282,-0.1534082598101361,0.052013600461921765,-0.15472294584970647,-38.406675891866676,14.288714026101136,10.239641915171283,0.15127,-0.20045,0.2121,204.0,1970-01-01 00:00:00.200,drive
2025-10-20,12:52:43.382,-0.22440872224783673,0.053410596282581345,-0.16210267209827264,-24.86894103472383,15.4821325975297,10.786860772314142,0.16337,-0.18736,0.2121,304.0,1970-01-01 00:00:00.300,drive
2025-10-20,12:52:43.479,-0.18254066942262623,0.07885625640149388,-0.17442451207669846,-14.360847320438122,7.44151202610114,21.476589343742706,0.16413,-0.19367,0.2121,404.0,1970-01-01 00:00:00.400,drive
2025-10-20,12:52:43.583,-0.08801304294641059,0.11022835118996162,-0.11756450810042662,-8.894598749009551,-10.152900831041709,29.783636200885557,0.14999,-0.20932,0.2121,504.0,1970-01-01 00:00:00.500,drive
2025-10-20,12:52:43.681,-0.016024600608539247,0.09164142801607715,-0.06898367719134647,-10.176154463295266,-5.6048362596131405,18.629494772314136,0.13845,-0.22445,0.2121,604.0,1970-01-01 00:00:00.600,drive
2025-10-20,12:52:43.783,0.02063546403630587,0.023667478782618195,-0.021347759071479823,-10.86133617758098,-4.251392545327427,10.390270200885569,0.13029,-0.23104,0.2121,704.0,1970-01-01 00:00:00.700,drive
2025-10-20,12:52:43.882,0.05166188830350306,-0.036070442436382466,-0.03379445634725806,-13.466510463295265,-0.7099928310417144,4.443744772314143,0.12726,-0.23494,0.2121,804.0,1970-01-01 00:00:00.800,drive
2025-10-20,12:52:43.981,0.0644731646380299,-0.06162967646051731,-0.06986316959236515,-12.661101891866693,0.37841802610114167,3.240589629457001,0.12701,-0.23508,0.2121,904.0,1970-01-01 00:00:00.900,drive
2025-10-20,12:52:44.079,0.08940970987289869,-0.06457917796551133,-0.10582373653332804,-11.328145034723837,-1.0759454024702857,2.2376656294570014,0.12726,-0.23727,0.2121,1004.0,1970-01-01 00:00:01.000,drive
2025-10-20,12:52:44.180,0.10769203941616572,-0.06387816479428483,-0.10337083509027302,-9.219123320438122,-4.333915402470284,3.7463662008855727,0.12448,-0.23962,0.2121,1104.0,1970-01-01 00:00:01.100,drive
2025-10-20,12:52:44.282,0.12169015290795676,-0.04846694100693185,-0.08280066871148213,-10.74638417758098,-4.3493842596131405,3.371706772314144,0.12003,-0.24333,0.2121,1204.0,1970-01-01 00:00:01.200,drive
2025-10-20,12:52:44.383,0.10730160998172626,-0.0825850192427919,-0.17696682778676556,-12.551141320438122,-3.6002074024702844,4.109995915171287,0.1164,-0.2477,0.2121,1304.0,1970-01-01 00:00:01.300,drive
2025-10-20,12:52:44.481,0.007299574234859999,-0.3148470510231613,-0.4934541411678134,16.432738965276158,-39.18436511675599,16.345895629456997,0.10731,-0.25452,0.2121,1404.0,1970-01-01 00:00:01.400,drive
2025-10-20,12:52:44.583,-0.06564189083022402,-0.5123512266177535,-0.6676522012787292,97.95530782241897,-134.5841079738988,40.985862200885556,0.05606,-0.29745,0.2121,1504.0,1970-01-01 00:00:01.500,drive
2025-10-20,12:52:44.683,-0.0028955800387195103,-0.26736996704194527,-0.335636190928736,225.5041998224189,-220.44756768818448,29.827479915171274,-0.06177,-0.39716,0.2121,1604.0,1970-01-01 00:00:01.600,drive
2025-10-20,12:52:44.782,0.07207685807086514,0.7785247036411193,1.8150919771986675,301.1220761081332,-199.85546368818447,-10.412907799114416,-0.14645,-0.47622,0.2121,1704.0,1970-01-01 00:00:01.700,drive
2025-10-20,12:52:44.882,-0.09056453060137963,1.364951709332763,0.6396293331697652,-0.05480132043814914,-60.708754545327395,14.783042772314142,-0.09999,-0.43842,0.2121,1804.0,1970-01-01 00:00:01.800,drive
2025-10-20,12:52:44.981,-0.5397411876705813,0.7515025235740508,-0.3885036771568213,-139.39252132043802,8.276605454672547,46.488160486599824,-0.14721,-0.44112,0.2121,1904.0,1970-01-01 00:00:01.900,drive
2025-10-20,12:52:45.083,-0.6258316096531387,-0.18561775599848993,-0.9992803447133124,-94.93022132043812,33.800920311815425,22.56505934374271,-0.16595,-0.46615,0.2121,2004.0,1970-01-01 00:00:02.000,drive
2025-10-20,12:52:45.182,-0.3017474461724938,-0.36673557318351635,1.0295661778265865,64.62954010813327,115.25542345467252,-62.46192065625725,-0.14191,-0.47748,0.2121,2104.0,1970-01-01 00:00:02.100,drive
2025-10-20,12:52:45.281,0.07460205914508235,-0.05244327198352744,0.6216722939972805,-70.63709760615238,197.07992002610106,-76.99665065625724,-0.05221,-0.47291,0.2121,2204.0,1970-01-01 00:00:02.200,drive
2025-10-20,12:52:45.382,-0.01489687849901146,-0.07239969949417605,0.5909779006963515,-112.78368760615237,145.2560831689582,-57.98059894197154,0.04394,-0.43935,0.2121,2304.0,1970-01-01 00:00:02.300,drive
2025-10-20,12:52:45.482,-0.05479374015544299,-0.2218098008148204,0.14731211314234882,-123.60502189186664,54.08412202610112,-38.63688522768583,0.08181,-0.39415,0.2121,2404.0,1970-01-01 00:00:02.400,drive
2025-10-20,12:52:45.582,0.10980612861373865,-0.44006697312984167,-0.2758519824993925,-103.03008960615237,41.83245488324398,-46.60035094197154,0.12676,-0.3333,0.2121,2504.0,1970-01-01 00:00:02.500,drive
2025-10-20,12:52:45.682,0.2883303425106038,-0.3851800295614521,-0.4600099933536278,-52.079110463295244,34.352416026101125,-35.66425122768584,0.17201,-0.28109,0.2121,2604.0,1970-01-01 00:00:02.600,drive
2025-10-20,12:52:45.782,0.2932511023814777,-0.19684732497530077,-0.30233541279597864,-19.138524177580976,13.862215168958281,-8.885996370542994,0.18963,-0.26361,0.2121,2704.0,1970-01-01 00:00:02.700,drive
2025-10-20,12:52:45.880,0.252327698248677,-0.041281984502024006,-0.10787699556095387,-7.532933320438125,-2.960488831041714,9.649491343742712,0.18949,-0.26687,0.2121,2804.0,1970-01-01 00:00:02.800,drive
2025-10-20,12:52:45.982,0.25984132095409884,-0.009593585672258162,-0.08287122129793437,-11.623406463295266,-5.865368259613139,9.265295058028427,0.18256,-0.2732,0.2121,2904.0,1970-01-01 00:00:02.900,drive
2025-10-20,12:52:46.082,0.23855614122718988,-0.04028631277899567,-0.09279287055195484,-12.203159891866692,-6.913971973898855,8.708700772314142,0.1776,-0.27713,0.2121,3004.0,1970-01-01 00:00:03.000,drive
2025-10-20,12:52:46.182,0.23250223987833532,-0.06302981114553073,-0.09223714523837095,-10.01725474900955,-3.808201973898856,4.562187343742714,0.17246,-0.28305,0.2121,3104.0,1970-01-01 00:00:03.100,drive
2025-10-20,12:52:46.283,0.1999054942932185,-0.08460860959069383,-0.06783141123065908,-10.999223606152409,-2.309371116756,-1.141712941971568,0.16945,-0.28599,0.2121,3204.0,1970-01-01 00:00:03.200,drive
2025-10-20,12:52:46.382,0.20709108486429134,-0.43185247863975046,-0.316007128923866,-6.293295891866695,-29.7865008310417,12.211639915171284,0.16539,-0.29038,0.2121,3304.0,1970-01-01 00:00:03.300,drive
2025-10-20,12:52:46.482,0.2547529290733055,-0.8281501222231566,-0.6322401348093172,70.51498610813327,-108.13410711675596,63.44391448659983,0.13155,-0.31234,0.2121,3404.0,1970-01-01 00:00:03.400,drive
2025-10-20,12:52:46.583,0.26210103872112755,-0.6760325551595829,-0.4994469098238149,223.97932953670463,-179.73791397389874,88.94325534374268,0.01364,-0.4035,0.2121,3504.0,1970-01-01 00:00:03.500,drive
2025-10-20,12:52:46.682,0.233296376426899,0.5386043790623809,0.6624619031852834,368.0844132509903,-183.6155431167559,19.997819629457,-0.0909,-0.47221,0.2121,3604.0,1970-01-01 00:00:03.600,drive
2025-10-20,12:52:46.783,-0.07628797108123181,1.970053212445775,1.838961676641315,68.57132639384751,-92.07341683104165,61.53871020088557,-0.05606,-0.38658,0.2121,3704.0,1970-01-01 00:00:03.700,drive
2025-10-20,12:52:46.882,-0.7892504906001551,1.4291794748260822,0.026294142092780196,-163.92606274900942,1.4532683118154226,127.6191079151712,-0.10722,-0.40905,0.2121,3804.0,1970-01-01 00:00:03.800,drive
2025-10-20,12:52:46.983,-1.1827540574107445,0.2531113745449472,-1.202598872596154,-141.11680589186665,35.62450174038684,116.38742848659982,-0.25679,-0.42673,0.2121,3904.0,1970-01-01 00:00:03.900,drive
2025-10-20,12:52:47.082,-0.8515976908326376,-0.42118922316316876,-0.7360652109508093,79.13249810813326,101.68513031181539,-36.0352557991144,-0.25615,-0.45636,0.2121,4004.0,1970-01-01 00:00:04.000,drive
2025-10-20,12:52:47.182,-0.37439377264269347,0.05261029840896049,0.9733552521523218,-6.293077320438126,187.31929402610103,-105.14786637054293,-0.19039,-0.46965,0.2121,4104.0,1970-01-01 00:00:04.100,drive
2025-10-20,12:52:47.283,-0.3504052696994803,-0.0062323498875030215,0.5884716763977277,-80.2020870347238,186.4731625975296,-138.26910408482865,-0.05664,-0.46149,0.2121,4204.0,1970-01-01 00:00:04.200,drive
2025-10-20,12:52:47.382,-0.20767945849211508,-0.10546708488147176,0.29345465235521967,-116.89515760615237,77.07390488324397,-151.58147437054294,0.07171,-0.41006,0.2121,4304.0,1970-01-01 00:00:04.300,drive
2025-10-20,12:52:47.483,0.34686016262356656,-0.45662958296660133,-0.16187003396821265,-104.27532732043808,8.02571202610114,-110.00053979911438,0.17978,-0.31108,0.2121,4404.0,1970-01-01 00:00:04.400,drive
2025-10-20,12:52:47.583,0.6624922871291656,-0.5748417586666984,-0.4297568269348931,-57.2961336061524,3.1167100261011416,-46.06779465625726,0.21816,-0.23786,0.2121,4504.0,1970-01-01 00:00:04.500,drive
2025-10-20,12:52:47.682,0.5068751219987884,-0.2912166087393259,-0.2681695252778397,-6.884443320438125,6.542390883243994,6.743804486599856,0.22329,-0.23401,0.2121,4604.0,1970-01-01 00:00:04.600,drive
2025-10-20,12:52:47.782,0.2386652233471427,0.015456568473859676,-0.021780110858659107,-3.613007891866698,7.922999740386853,10.52323734374271,0.22472,-0.24215,0.2121,4704.0,1970-01-01 00:00:04.700,drive
2025-10-20,12:52:47.883,0.2244126198250418,0.04987225738325935,0.003037937227470524,-7.468687606152409,0.06782031181542861,9.202591915171283,0.22142,-0.25056,0.2121,4804.0,1970-01-01 00:00:04.800,drive
2025-10-20,12:52:47.982,0.2554387319624492,-0.00488252469598872,-0.05025028191562513,-10.879367034723836,-2.0934294024702855,3.8292524865998576,0.21867,-0.25654,0.2121,4904.0,1970-01-01 00:00:04.900,drive
2025-10-20,12:52:48.082,0.23890298119965803,-0.04942883105259743,-0.07496558003099965,-11.468561606152408,-3.352247116755999,1.640625629457002,0.21723,-0.25732,0.2121,5004.0,1970-01-01 00:00:05.000,drive
2025-10-20,12:52:48.181,0.24099643569702253,-0.06515183544843216,-0.07133886067568171,-10.239324749009553,-4.1025054024702845,0.6300916294570024,0.21488,-0.26008,0.2121,5104.0,1970-01-01 00:00:05.100,drive
2025-10-20,12:52:48.282,0.22100845975591518,-0.12886035847536775,-0.08850602941577526,-9.286775891866695,-7.169322831041713,2.121294200885574,0.21117,-0.26361,0.2121,5204.0,1970-01-01 00:00:05.200,drive
2025-10-20,12:52:48.382,0.22062435764614047,-0.4297546510751024,-0.2660182129324323,4.619286965276159,-46.08743254532741,24.019872486599855,0.20377,-0.2722,0.2121,5304.0,1970-01-01 00:00:05.300,drive
2025-10-20,12:52:48.482,0.2394810749556115,-0.7278725385761987,-0.5021714576155709,65.22311096527613,-114.9997699738988,71.09008677231411,0.15781,-0.30957,0.2121,5404.0,1970-01-01 00:00:05.400,drive
2025-10-20,12:52:48.582,0.20344988216658755,-0.6439185928573888,-0.4069292522036675,175.7782643938475,-163.24652625961306,102.83654591517124,0.04545,-0.39643,0.2121,5504.0,1970-01-01 00:00:05.500,drive
2025-10-20,12:52:48.682,0.006647994747101561,0.011421302620648945,0.006140125646117586,285.9705041081332,-161.24978940247018,68.12842877231411,-0.07435,-0.47454,0.2121,5604.0,1970-01-01 00:00:05.600,drive
2025-10-20,12:52:48.782,-0.21569983683364066,1.5532171403004464,2.0163365812162946,265.9414975367046,-142.55337511675592,19.261341058028428,-0.10277,-0.43809,0.2121,5704.0,1970-01-01 00:00:05.700,drive
