accel_y (g)_mean,accel_y (g)_std,accel_y (g)_mad,accel_y (g)_min,accel_y (g)_max,accel_y (g)_range,accel_y (g)_iqr,accel_x (g)_mean,accel_x (g)_std,accel_x (g)_mad,accel_x (g)_min,accel_x (g)_max,accel_x (g)_range,accel_x (g)_iqr,accel_z (g)_mean,accel_z (g)_std,accel_z (g)_mad,accel_z (g)_min,accel_z (g)_max,accel_z (g)_range,accel_z (g)_iqr,gyro_y (°/s)_mean,gyro_y (°/s)_std,gyro_y (°/s)_mad,gyro_y (°/s)_min,gyro_y (°/s)_max,gyro_y (°/s)_range,gyro_y (°/s)_iqr,gyro_x (°/s)_mean,gyro_x (°/s)_std,gyro_x (°/s)_mad,gyro_x (°/s)_min,gyro_x (°/s)_max,gyro_x (°/s)_range,gyro_x (°/s)_iqr,gyro_z (°/s)_mean,gyro_z (°/s)_std,gyro_z (°/s)_mad,gyro_z (°/s)_min,gyro_z (°/s)_max,gyro_z (°/s)_range,gyro_z (°/s)_iqr,accel_mag_mean,accel_mag_std,accel_peak_count,accel_peak_amplitude,gyro_mag_mean,gyro_mag_std,gyro_peak_count,gyro_peak_amplitude,jerk_y (g)_mean,jerk_y (g)_std,jerk_x (g)_mean,jerk_x (g)_std,jerk_z (g)_mean,jerk_z (g)_std,accel_dominant_freq,accel_dominant_power,accel_low_band_energy,accel_mid_band_energy,gyro_dominant_freq,gyro_dominant_power,gyro_low_band_energy,gyro_mid_band_energy,gyro_rotation_mean,gyro_rotation_std,accel_corr_xy,accel_corr_xz,accel_corr_yz,gyro_corr_xy,gyro_corr_xz,gyro_corr_yz,shot_type
-0.03143498,2.335682981,0.719418821,-2.193711905,5.678756309,7.872468214,2.204825572,0.027447682,0.551862883,0.372340066,-1.479170389,0.895284154,2.374454544,0.421203632,0.002611421,0.801095724,0.670726177,-1.710875628,1.801849058,3.512724686,0.845492883,2.600770988,205.4819831,126.241828,-471.6416522,532.1778546,1003.819507,204.7076049,-20.65764912,314.3459917,81.81843701,-883.3477464,480.7336768,1364.081423,114.4421731,12.72628875,193.5105027,86.56019815,-375.0521662,426.5117613,801.5639274,126.1542707,2.117964724,1.384808928,1,5.684033592,301.5003267,296.943726,3,794.2879516,0.857197631,1.200845177,0.471392398,0.646003126,0.516006065,0.730698442,0,0,0,0,0,0,0,0,121.640001,95.50388718,-0.399206302,-0.034132345,0.101700367,0.558564311,0.226079402,0.694655767,clear
-0.001044907,2.375911347,0.659298072,-1.905995568,5.895269699,7.801265267,1.905166875,0.010108688,0.653659251,0.606803909,-1.382977776,1.146247836,2.529225612,0.730256205,-0.024137088,0.8628107,0.74595082,-2.325876697,2.036637525,4.362514222,1.008573658,14.55269589,215.0269194,127.6928219,-436.6268571,456.8327206,893.4595777,167.1245356,-6.762494933,314.7427396,119.6261881,-957.0908698,450.2281188,1407.318989,162.8579254,6.650976465,201.7807344,86.56019815,-443.2014005,494.187957,937.3893574,121.0532685,2.164188519,1.460698935,1,5.966465627,319.2485933,290.5118181,3,791.2436655,0.865352576,1.31352082,0.48466354,0.688920115,0.577550112,0.823142161,0,0,0,0,0,0,0,0,129.5119201,99.26976082,-0.546512013,-0.034077333,-0.004444834,0.544832328,0.309880986,0.85118878,clear
-0.029587684,2.387761077,0.59486682,-1.905995568,5.895269699,7.801265267,1.877957449,-0.007547063,0.622664734,0.286460831,-1.382977776,1.146247836,2.529225612,0.366264121,-0.020036425,0.834335313,0.604979618,-2.325876697,2.036637525,4.362514222,0.757616677,15.28474212,207.7355637,79.01037337,-436.6268571,456.8327206,893.4595777,176.736014,-23.78436796,312.3690941,60.1854445,-957.0908698,450.2281188,1407.318989,129.1175936,-6.611112106,202.365706,49.7753471,-443.2014005,494.187957,937.3893574,103.2008416,2.153902607,1.465355642,1,5.966465627,312.7940634,291.0039424,3,791.2436655,0.886156392,1.323390498,0.44415464,0.676099903,0.552250394,0.817485337,0,0,0,0,0,0,0,0,127.5961317,100.7977439,-0.574329413,-0.019902945,0.063808935,0.54575947,0.277433602,0.848582156,clear
0.016472255,2.364539543,0.703714591,-1.986451089,5.644481889,7.630932978,2.199484814,0.004904708,0.652184366,0.315187962,-1.46944665,1.3094575,2.778904151,0.402129293,0.021668652,0.770205021,0.584251734,-2.019412126,2.061753006,4.081165132,0.737885722,2.357521502,213.2208083,109.6843208,-503.3251942,458.91685,962.2420443,207.1810024,-14.5196318,318.5297959,77.20495401,-960.1366835,450.5571536,1410.693837,131.8914324,-2.644815535,177.955223,54.24764592,-350.1800925,461.9335613,812.1136537,96.79399229,2.140296741,1.424606,1,5.694056904,307.6330146,290.1339454,3,791.0802207,0.829112474,1.230839431,0.467781676,0.657466702,0.556110782,0.799764199,0,0,0,0,0,0,0,0,126.8055916,97.72488308,-0.492740146,-0.052836803,0.16242838,0.64685422,0.282658956,0.765316407,clear
-0.010015985,2.378636302,0.598677474,-1.986451089,5.644481889,7.630932978,2.201385725,0.000794999,0.647252172,0.184753782,-1.46944665,1.3094575,2.778904151,0.265771476,0.013353483,0.777568843,0.623307167,-2.019412126,2.061753006,4.081165132,0.763581767,1.356124145,212.3615668,91.57987943,-503.3251942,458.91685,962.2420443,208.4986366,-10.46005328,319.3800804,90.63467879,-960.1366835,450.5571536,1410.693837,154.6323833,-7.248043235,179.5219584,69.01350707,-350.1800925,461.9335613,812.1136537,107.3596948,2.167339506,1.408679549,1,5.694056904,310.7590912,287.9614168,3,791.0802207,0.847110673,1.243614878,0.45267887,0.645596632,0.570739911,0.807283991,0,0,0,0,0,0,0,0,127.754906,96.87410266,-0.48551669,-0.052985219,0.195239972,0.651745095,0.270517496,0.749335843,clear
-0.031600477,2.395694752,0.465817003,-2.075260506,5.738002384,7.81326289,2.156223232,0.003987592,0.618285576,0.199475747,-1.772900012,1.227035507,2.999935519,0.262602026,-0.016267634,0.730330622,0.651303189,-1.452210049,1.934852185,3.387062234,0.720370349,22.85245253,206.8949385,65.8665248,-510.092586,541.4995069,1051.592093,159.5359784,7.918301809,274.9205559,74.94885788,-709.5483152,479.4644879,1189.012803,140.1493679,0.730571551,180.223036,71.23269127,-267.6128116,518.5973247,786.2101363,113.9548013,2.164361353,1.404219455,1,5.753289899,284.647389,265.3836884,3,776.9914965,0.86108209,1.251655078,0.432207121,0.618487522,0.54109158,0.704879783,0,0,0,0,0,0,0,0,117.172082,79.98720158,-0.592200484,0.166213095,0.230837512,0.703233769,0.081034284,0.691043501,clear
0.012882757,2.374690717,0.845085772,-2.075260506,5.738002384,7.81326289,2.138411172,-0.015693808,0.638230207,0.415143286,-1.772900012,1.227035507,2.999935519,0.639605285,0.023264355,0.732586948,0.614591606,-1.452210049,1.934852185,3.387062234,0.841117845,15.5298412,206.0834175,78.42843908,-510.092586,541.4995069,1051.592093,150.0832041,3.630529552,274.5896728,61.44122934,-709.5483152,479.4644879,1189.012803,136.9458729,5.947856451,179.0694181,80.48620667,-267.6128116,518.5973247,786.2101363,107.6392487,2.1345812,1.423971217,1,5.753289899,276.4133517,271.7004096,3,776.9914965,0.909220086,1.262448899,0.441244515,0.622315125,0.525536941,0.695547959,0,0,0,0,0,0,0,0,113.2362845,83.94054496,-0.572849554,0.152050744,0.152198585,0.70329192,0.097106032,0.708423539,clear
0.040836064,2.410914284,0.829503225,-2.218343549,5.788292981,8.006636529,2.309521204,-0.005396386,0.655169746,0.434029068,-1.463883557,1.189930375,2.653813933,0.613033666,0.010273464,0.783381998,0.657322762,-1.836442638,2.084765515,3.921208153,0.929722832,11.32400426,218.5038107,112.654902,-482.4861028,468.4703812,950.956484,141.4253667,-29.4919163,338.8580723,85.16328822,-1054.840442,411.9079688,1466.748411,147.516666,12.87333982,186.2201507,67.25115391,-298.6655013,532.0584421,830.7239434,92.98070757,2.192689047,1.431558391,1,5.807683199,317.1487433,312.7731714,3,830.4384421,0.89552003,1.256758091,0.504708999,0.703652325,0.615987668,0.834380337,0,0,0,0,0,0,0,0,128.6856067,109.1186514,-0.483893455,-0.033792311,-0.03511961,0.706272534,0.265214058,0.731375093,clear
0.031989093,2.412592501,0.585197314,-2.218343549,5.788292981,8.006636529,2.279113404,0.00612032,0.652979753,0.346721164,-1.463883557,1.189930375,2.653813933,0.563793298,-0.003608467,0.806741087,0.787781889,-1.836442638,2.084765515,3.921208153,0.925196268,17.40026462,220.6892075,108.7285609,-482.4861028,468.4703812,950.956484,144.2936046,-19.615127,340.3970951,104.5551828,-1054.840442,411.9079688,1466.748411,173.8129202,15.72491477,185.1053884,73.23220403,-298.6655013,532.0584421,830.7239434,95.65523364,2.212143075,1.416090785,1,5.807683199,322.4448492,309.519027,3,830.4384421,0.890210529,1.268369725,0.494313715,0.698034721,0.614965116,0.836670473,0,0,0,0,0,0,0,0,131.0785085,106.8879289,-0.488742174,-0.0316597,-0.045718776,0.707228954,0.265092347,0.724013968,clear
0.005695502,2.350534048,0.428503552,-2.21191713,5.704437164,7.916354294,2.136398649,-0.018421656,0.698279095,0.441897941,-1.85550238,1.249710738,3.105213118,0.590193542,0.03528145,0.615679057,0.755358065,-1.043012563,1.234908946,2.277921509,0.869729073,-10.80607211,224.2534461,67.68044392,-605.8791688,550.2954806,1156.174649,175.9411764,18.42673921,228.704222,89.40597517,-570.0150187,451.9110731,1021.926092,171.336685,20.24257398,182.8648173,70.29861375,-228.124967,481.5756275,709.7005946,91.4637175,2.141422963,1.344466058,1,5.724337237,277.95078,244.2216458,2,765.1627582,0.824679523,1.149678683,0.526336289,0.707123411,0.410215583,0.526863957,0,0,0,0,0,0,0,0,110.0504204,78.95626268,-0.579727608,0.024152418,0.184418634,0.643845044,0.008235654,0.668732234,clear
